donor,recipient,purpose,amount
Switzerland,Saudi Arabia,Power generation/non-renewable sources,0.0
Switzerland,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Australia,India,Air transport,0.0
Australia,India,Rail transport,2671116.0
Australia,India,Industrial development,24434534.0
Australia,India,Power generation/non-renewable sources,3917484.0
Australia,India,RESCHEDULING AND REFINANCING,0.0
Australia,Thailand,Air transport,75135.0
Australia,Thailand,Rail transport,36367087.0
Australia,Thailand,Industrial development,26897.0
Australia,Thailand,Power generation/non-renewable sources,270795.0
Australia,Thailand,RESCHEDULING AND REFINANCING,0.0
Australia,Brazil,Air transport,0.0
Australia,Brazil,Rail transport,0.0
Australia,Brazil,Industrial development,0.0
Australia,Brazil,Power generation/non-renewable sources,0.0
Australia,Brazil,RESCHEDULING AND REFINANCING,0.0
Australia,Colombia,Air transport,0.0
Australia,Colombia,Rail transport,0.0
Australia,Colombia,Industrial development,0.0
Australia,Colombia,Power generation/non-renewable sources,0.0
Australia,Colombia,RESCHEDULING AND REFINANCING,0.0
Australia,Korea,Air transport,0.0
Australia,Korea,Rail transport,0.0
Australia,Korea,Industrial development,0.0
Australia,Korea,Power generation/non-renewable sources,0.0
Australia,Korea,RESCHEDULING AND REFINANCING,0.0
Australia,Poland,Air transport,0.0
Australia,Poland,Rail transport,0.0
Australia,Poland,Industrial development,0.0
Australia,Poland,Power generation/non-renewable sources,0.0
Australia,Poland,RESCHEDULING AND REFINANCING,0.0
Australia,South Africa,Air transport,0.0
Australia,South Africa,Rail transport,0.0
Australia,South Africa,Industrial development,91287.0
Australia,South Africa,Power generation/non-renewable sources,0.0
Australia,South Africa,RESCHEDULING AND REFINANCING,0.0
Australia,Kuwait,Air transport,0.0
Australia,Kuwait,Rail transport,0.0
Australia,Kuwait,Industrial development,0.0
Australia,Kuwait,Power generation/non-renewable sources,0.0
Australia,Kuwait,RESCHEDULING AND REFINANCING,0.0
Australia,Chile,Air transport,0.0
Australia,Chile,Rail transport,0.0
Australia,Chile,Industrial development,0.0
Australia,Chile,Power generation/non-renewable sources,0.0
Australia,Chile,RESCHEDULING AND REFINANCING,0.0
Australia,Saudi Arabia,Air transport,0.0
Australia,Saudi Arabia,Rail transport,0.0
Australia,Saudi Arabia,Industrial development,0.0
Australia,Saudi Arabia,Power generation/non-renewable sources,0.0
Australia,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Belgium,India,Air transport,0.0
Belgium,India,Rail transport,0.0
Belgium,India,Industrial development,223779.0
Belgium,India,Power generation/non-renewable sources,859652.0
Belgium,India,RESCHEDULING AND REFINANCING,0.0
Belgium,Thailand,Air transport,125252.0
Belgium,Thailand,Rail transport,430774.0
Belgium,Thailand,Industrial development,3765246.0
Belgium,Thailand,Power generation/non-renewable sources,0.0
Belgium,Thailand,RESCHEDULING AND REFINANCING,0.0
Belgium,Brazil,Air transport,0.0
Belgium,Brazil,Rail transport,0.0
Belgium,Brazil,Industrial development,1152172.0
Belgium,Brazil,Power generation/non-renewable sources,0.0
Belgium,Brazil,RESCHEDULING AND REFINANCING,95301312.0
Belgium,Colombia,Air transport,0.0
Belgium,Colombia,Rail transport,0.0
Belgium,Colombia,Industrial development,437122.0
Belgium,Colombia,Power generation/non-renewable sources,471552.0
Belgium,Colombia,RESCHEDULING AND REFINANCING,0.0
Belgium,Korea,Air transport,0.0
Belgium,Korea,Rail transport,0.0
Belgium,Korea,Industrial development,0.0
Belgium,Korea,Power generation/non-renewable sources,0.0
Belgium,Korea,RESCHEDULING AND REFINANCING,0.0
Belgium,Poland,Air transport,0.0
Belgium,Poland,Rail transport,0.0
Belgium,Poland,Industrial development,0.0
Belgium,Poland,Power generation/non-renewable sources,0.0
Belgium,Poland,RESCHEDULING AND REFINANCING,797173879.0
Belgium,South Africa,Air transport,0.0
Belgium,South Africa,Rail transport,0.0
Belgium,South Africa,Industrial development,7238.0
Belgium,South Africa,Power generation/non-renewable sources,0.0
Belgium,South Africa,RESCHEDULING AND REFINANCING,0.0
Belgium,Kuwait,Air transport,0.0
Belgium,Kuwait,Rail transport,0.0
Belgium,Kuwait,Industrial development,0.0
Belgium,Kuwait,Power generation/non-renewable sources,0.0
Belgium,Kuwait,RESCHEDULING AND REFINANCING,0.0
Belgium,Chile,Air transport,0.0
Belgium,Chile,Rail transport,0.0
Belgium,Chile,Industrial development,522868.0
Belgium,Chile,Power generation/non-renewable sources,0.0
Belgium,Chile,RESCHEDULING AND REFINANCING,0.0
Belgium,Saudi Arabia,Air transport,0.0
Belgium,Saudi Arabia,Rail transport,0.0
Belgium,Saudi Arabia,Industrial development,0.0
Belgium,Saudi Arabia,Power generation/non-renewable sources,0.0
Belgium,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Spain,India,Air transport,6797785.0
Spain,India,Rail transport,19497.0
Spain,India,Industrial development,1386496.0
Spain,India,Power generation/non-renewable sources,0.0
Spain,India,RESCHEDULING AND REFINANCING,0.0
Spain,Thailand,Air transport,0.0
Spain,Thailand,Rail transport,0.0
Spain,Thailand,Industrial development,32435.0
Spain,Thailand,Power generation/non-renewable sources,0.0
Spain,Thailand,RESCHEDULING AND REFINANCING,0.0
Spain,Brazil,Air transport,140677.0
Spain,Brazil,Rail transport,140375.0
Spain,Brazil,Industrial development,1110417.0
Spain,Brazil,Power generation/non-renewable sources,0.0
Spain,Brazil,RESCHEDULING AND REFINANCING,0.0
Spain,Colombia,Air transport,470750.0
Spain,Colombia,Rail transport,0.0
Spain,Colombia,Industrial development,3329991.0
Spain,Colombia,Power generation/non-renewable sources,0.0
Spain,Colombia,RESCHEDULING AND REFINANCING,0.0
Spain,Korea,Air transport,0.0
Spain,Korea,Rail transport,0.0
Spain,Korea,Industrial development,0.0
Spain,Korea,Power generation/non-renewable sources,0.0
Spain,Korea,RESCHEDULING AND REFINANCING,0.0
Spain,Poland,Air transport,0.0
Spain,Poland,Rail transport,0.0
Spain,Poland,Industrial development,0.0
Spain,Poland,Power generation/non-renewable sources,0.0
Spain,Poland,RESCHEDULING AND REFINANCING,0.0
Spain,South Africa,Air transport,0.0
Spain,South Africa,Rail transport,0.0
Spain,South Africa,Industrial development,0.0
Spain,South Africa,Power generation/non-renewable sources,0.0
Spain,South Africa,RESCHEDULING AND REFINANCING,0.0
Spain,Kuwait,Air transport,0.0
Spain,Kuwait,Rail transport,0.0
Spain,Kuwait,Industrial development,0.0
Spain,Kuwait,Power generation/non-renewable sources,0.0
Spain,Kuwait,RESCHEDULING AND REFINANCING,0.0
Spain,Chile,Air transport,20706.0
Spain,Chile,Rail transport,0.0
Spain,Chile,Industrial development,2505456.0
Spain,Chile,Power generation/non-renewable sources,0.0
Spain,Chile,RESCHEDULING AND REFINANCING,0.0
Spain,Saudi Arabia,Air transport,0.0
Spain,Saudi Arabia,Rail transport,0.0
Spain,Saudi Arabia,Industrial development,0.0
Spain,Saudi Arabia,Power generation/non-renewable sources,0.0
Spain,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,India,Air transport,0.0
Saudi Arabia,India,Rail transport,79371799.0
Saudi Arabia,India,Industrial development,0.0
Saudi Arabia,India,Power generation/non-renewable sources,0.0
Saudi Arabia,India,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,Thailand,Air transport,0.0
Saudi Arabia,Thailand,Rail transport,0.0
Saudi Arabia,Thailand,Industrial development,0.0
Saudi Arabia,Thailand,Power generation/non-renewable sources,95676536.0
Saudi Arabia,Thailand,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,Brazil,Air transport,0.0
Saudi Arabia,Brazil,Rail transport,0.0
Saudi Arabia,Brazil,Industrial development,0.0
Saudi Arabia,Brazil,Power generation/non-renewable sources,0.0
Saudi Arabia,Brazil,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,Colombia,Air transport,0.0
Saudi Arabia,Colombia,Rail transport,0.0
Saudi Arabia,Colombia,Industrial development,0.0
Saudi Arabia,Colombia,Power generation/non-renewable sources,0.0
Saudi Arabia,Colombia,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,Korea,Air transport,0.0
Saudi Arabia,Korea,Rail transport,0.0
Saudi Arabia,Korea,Industrial development,0.0
Saudi Arabia,Korea,Power generation/non-renewable sources,0.0
Saudi Arabia,Korea,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,Poland,Air transport,0.0
Saudi Arabia,Poland,Rail transport,0.0
Saudi Arabia,Poland,Industrial development,0.0
Saudi Arabia,Poland,Power generation/non-renewable sources,0.0
Saudi Arabia,Poland,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,South Africa,Air transport,0.0
Saudi Arabia,South Africa,Rail transport,0.0
Saudi Arabia,South Africa,Industrial development,0.0
Saudi Arabia,South Africa,Power generation/non-renewable sources,0.0
Saudi Arabia,South Africa,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,Kuwait,Air transport,0.0
Saudi Arabia,Kuwait,Rail transport,0.0
Saudi Arabia,Kuwait,Industrial development,0.0
Saudi Arabia,Kuwait,Power generation/non-renewable sources,0.0
Saudi Arabia,Kuwait,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,Chile,Air transport,0.0
Saudi Arabia,Chile,Rail transport,0.0
Saudi Arabia,Chile,Industrial development,0.0
Saudi Arabia,Chile,Power generation/non-renewable sources,0.0
Saudi Arabia,Chile,RESCHEDULING AND REFINANCING,0.0
Saudi Arabia,Saudi Arabia,Air transport,0.0
Saudi Arabia,Saudi Arabia,Rail transport,0.0
Saudi Arabia,Saudi Arabia,Industrial development,0.0
Saudi Arabia,Saudi Arabia,Power generation/non-renewable sources,0.0
Saudi Arabia,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Kuwait,India,Air transport,0.0
Kuwait,India,Rail transport,0.0
Kuwait,India,Industrial development,131175647.0
Kuwait,India,Power generation/non-renewable sources,149282062.0
Kuwait,India,RESCHEDULING AND REFINANCING,0.0
Kuwait,Thailand,Air transport,0.0
Kuwait,Thailand,Rail transport,0.0
Kuwait,Thailand,Industrial development,0.0
Kuwait,Thailand,Power generation/non-renewable sources,65310902.0
Kuwait,Thailand,RESCHEDULING AND REFINANCING,0.0
Kuwait,Brazil,Air transport,0.0
Kuwait,Brazil,Rail transport,0.0
Kuwait,Brazil,Industrial development,0.0
Kuwait,Brazil,Power generation/non-renewable sources,0.0
Kuwait,Brazil,RESCHEDULING AND REFINANCING,0.0
Kuwait,Colombia,Air transport,0.0
Kuwait,Colombia,Rail transport,0.0
Kuwait,Colombia,Industrial development,0.0
Kuwait,Colombia,Power generation/non-renewable sources,0.0
Kuwait,Colombia,RESCHEDULING AND REFINANCING,0.0
Kuwait,Korea,Air transport,0.0
Kuwait,Korea,Rail transport,0.0
Kuwait,Korea,Industrial development,0.0
Kuwait,Korea,Power generation/non-renewable sources,0.0
Kuwait,Korea,RESCHEDULING AND REFINANCING,0.0
Kuwait,Poland,Air transport,0.0
Kuwait,Poland,Rail transport,0.0
Kuwait,Poland,Industrial development,0.0
Kuwait,Poland,Power generation/non-renewable sources,0.0
Kuwait,Poland,RESCHEDULING AND REFINANCING,0.0
Kuwait,South Africa,Air transport,0.0
Kuwait,South Africa,Rail transport,0.0
Kuwait,South Africa,Industrial development,0.0
Kuwait,South Africa,Power generation/non-renewable sources,0.0
Kuwait,South Africa,RESCHEDULING AND REFINANCING,0.0
Kuwait,Kuwait,Air transport,0.0
Kuwait,Kuwait,Rail transport,0.0
Kuwait,Kuwait,Industrial development,0.0
Kuwait,Kuwait,Power generation/non-renewable sources,0.0
Kuwait,Kuwait,RESCHEDULING AND REFINANCING,0.0
Kuwait,Chile,Air transport,0.0
Kuwait,Chile,Rail transport,0.0
Kuwait,Chile,Industrial development,0.0
Kuwait,Chile,Power generation/non-renewable sources,0.0
Kuwait,Chile,RESCHEDULING AND REFINANCING,0.0
Kuwait,Saudi Arabia,Air transport,0.0
Kuwait,Saudi Arabia,Rail transport,0.0
Kuwait,Saudi Arabia,Industrial development,0.0
Kuwait,Saudi Arabia,Power generation/non-renewable sources,0.0
Kuwait,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Korea,India,Air transport,0.0
Korea,India,Rail transport,0.0
Korea,India,Industrial development,0.0
Korea,India,Power generation/non-renewable sources,0.0
Korea,India,RESCHEDULING AND REFINANCING,0.0
Korea,Thailand,Air transport,52335.0
Korea,Thailand,Rail transport,111908.0
Korea,Thailand,Industrial development,1096198.0
Korea,Thailand,Power generation/non-renewable sources,109423.0
Korea,Thailand,RESCHEDULING AND REFINANCING,0.0
Korea,Brazil,Air transport,0.0
Korea,Brazil,Rail transport,0.0
Korea,Brazil,Industrial development,123207.0
Korea,Brazil,Power generation/non-renewable sources,0.0
Korea,Brazil,RESCHEDULING AND REFINANCING,0.0
Korea,Colombia,Air transport,0.0
Korea,Colombia,Rail transport,58854.0
Korea,Colombia,Industrial development,344229.0
Korea,Colombia,Power generation/non-renewable sources,0.0
Korea,Colombia,RESCHEDULING AND REFINANCING,0.0
Korea,Korea,Air transport,0.0
Korea,Korea,Rail transport,0.0
Korea,Korea,Industrial development,0.0
Korea,Korea,Power generation/non-renewable sources,0.0
Korea,Korea,RESCHEDULING AND REFINANCING,0.0
Korea,Poland,Air transport,0.0
Korea,Poland,Rail transport,0.0
Korea,Poland,Industrial development,0.0
Korea,Poland,Power generation/non-renewable sources,0.0
Korea,Poland,RESCHEDULING AND REFINANCING,0.0
Korea,South Africa,Air transport,0.0
Korea,South Africa,Rail transport,0.0
Korea,South Africa,Industrial development,0.0
Korea,South Africa,Power generation/non-renewable sources,0.0
Korea,South Africa,RESCHEDULING AND REFINANCING,0.0
Korea,Kuwait,Air transport,0.0
Korea,Kuwait,Rail transport,0.0
Korea,Kuwait,Industrial development,0.0
Korea,Kuwait,Power generation/non-renewable sources,0.0
Korea,Kuwait,RESCHEDULING AND REFINANCING,0.0
Korea,Chile,Air transport,28586.0
Korea,Chile,Rail transport,0.0
Korea,Chile,Industrial development,0.0
Korea,Chile,Power generation/non-renewable sources,0.0
Korea,Chile,RESCHEDULING AND REFINANCING,0.0
Korea,Saudi Arabia,Air transport,0.0
Korea,Saudi Arabia,Rail transport,0.0
Korea,Saudi Arabia,Industrial development,0.0
Korea,Saudi Arabia,Power generation/non-renewable sources,0.0
Korea,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Austria,India,Air transport,0.0
Austria,India,Rail transport,0.0
Austria,India,Industrial development,7202447.0
Austria,India,Power generation/non-renewable sources,8081078.0
Austria,India,RESCHEDULING AND REFINANCING,0.0
Austria,Thailand,Air transport,0.0
Austria,Thailand,Rail transport,0.0
Austria,Thailand,Industrial development,2281844.0
Austria,Thailand,Power generation/non-renewable sources,0.0
Austria,Thailand,RESCHEDULING AND REFINANCING,0.0
Austria,Brazil,Air transport,0.0
Austria,Brazil,Rail transport,0.0
Austria,Brazil,Industrial development,5167098.0
Austria,Brazil,Power generation/non-renewable sources,0.0
Austria,Brazil,RESCHEDULING AND REFINANCING,0.0
Austria,Colombia,Air transport,0.0
Austria,Colombia,Rail transport,2814444.0
Austria,Colombia,Industrial development,0.0
Austria,Colombia,Power generation/non-renewable sources,0.0
Austria,Colombia,RESCHEDULING AND REFINANCING,0.0
Austria,Korea,Air transport,0.0
Austria,Korea,Rail transport,0.0
Austria,Korea,Industrial development,0.0
Austria,Korea,Power generation/non-renewable sources,0.0
Austria,Korea,RESCHEDULING AND REFINANCING,0.0
Austria,Poland,Air transport,0.0
Austria,Poland,Rail transport,0.0
Austria,Poland,Industrial development,0.0
Austria,Poland,Power generation/non-renewable sources,0.0
Austria,Poland,RESCHEDULING AND REFINANCING,0.0
Austria,South Africa,Air transport,0.0
Austria,South Africa,Rail transport,0.0
Austria,South Africa,Industrial development,0.0
Austria,South Africa,Power generation/non-renewable sources,0.0
Austria,South Africa,RESCHEDULING AND REFINANCING,0.0
Austria,Kuwait,Air transport,0.0
Austria,Kuwait,Rail transport,0.0
Austria,Kuwait,Industrial development,0.0
Austria,Kuwait,Power generation/non-renewable sources,0.0
Austria,Kuwait,RESCHEDULING AND REFINANCING,0.0
Austria,Chile,Air transport,0.0
Austria,Chile,Rail transport,0.0
Austria,Chile,Industrial development,0.0
Austria,Chile,Power generation/non-renewable sources,0.0
Austria,Chile,RESCHEDULING AND REFINANCING,0.0
Austria,Saudi Arabia,Air transport,0.0
Austria,Saudi Arabia,Rail transport,0.0
Austria,Saudi Arabia,Industrial development,203662.0
Austria,Saudi Arabia,Power generation/non-renewable sources,0.0
Austria,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Finland,India,Air transport,0.0
Finland,India,Rail transport,0.0
Finland,India,Industrial development,31746338.0
Finland,India,Power generation/non-renewable sources,0.0
Finland,India,RESCHEDULING AND REFINANCING,0.0
Finland,Thailand,Air transport,0.0
Finland,Thailand,Rail transport,0.0
Finland,Thailand,Industrial development,58111179.0
Finland,Thailand,Power generation/non-renewable sources,0.0
Finland,Thailand,RESCHEDULING AND REFINANCING,0.0
Finland,Brazil,Air transport,0.0
Finland,Brazil,Rail transport,0.0
Finland,Brazil,Industrial development,0.0
Finland,Brazil,Power generation/non-renewable sources,0.0
Finland,Brazil,RESCHEDULING AND REFINANCING,0.0
Finland,Colombia,Air transport,0.0
Finland,Colombia,Rail transport,0.0
Finland,Colombia,Industrial development,0.0
Finland,Colombia,Power generation/non-renewable sources,0.0
Finland,Colombia,RESCHEDULING AND REFINANCING,0.0
Finland,Korea,Air transport,0.0
Finland,Korea,Rail transport,0.0
Finland,Korea,Industrial development,0.0
Finland,Korea,Power generation/non-renewable sources,0.0
Finland,Korea,RESCHEDULING AND REFINANCING,0.0
Finland,Poland,Air transport,0.0
Finland,Poland,Rail transport,0.0
Finland,Poland,Industrial development,6313047.0
Finland,Poland,Power generation/non-renewable sources,0.0
Finland,Poland,RESCHEDULING AND REFINANCING,0.0
Finland,South Africa,Air transport,0.0
Finland,South Africa,Rail transport,0.0
Finland,South Africa,Industrial development,7517.0
Finland,South Africa,Power generation/non-renewable sources,0.0
Finland,South Africa,RESCHEDULING AND REFINANCING,0.0
Finland,Kuwait,Air transport,0.0
Finland,Kuwait,Rail transport,0.0
Finland,Kuwait,Industrial development,0.0
Finland,Kuwait,Power generation/non-renewable sources,0.0
Finland,Kuwait,RESCHEDULING AND REFINANCING,0.0
Finland,Chile,Air transport,0.0
Finland,Chile,Rail transport,0.0
Finland,Chile,Industrial development,0.0
Finland,Chile,Power generation/non-renewable sources,0.0
Finland,Chile,RESCHEDULING AND REFINANCING,0.0
Finland,Saudi Arabia,Air transport,0.0
Finland,Saudi Arabia,Rail transport,0.0
Finland,Saudi Arabia,Industrial development,0.0
Finland,Saudi Arabia,Power generation/non-renewable sources,0.0
Finland,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
